,SERIAL
1059,s42003
1060,s42003
1061,s42003
1062,s42003
1063,s42003
1064,s42003
1065,s42003
1066,s42003
1067,s42003
1068,s42003
1069,s42003
1070,s42003
1071,s42003
1072,s42003
1073,s42003
1074,s42003
1075,s42003
1076,s42003
1077,s42003
1078,s42004
1079,s42004
1080,s42004
1081,s42004
1082,s42004
1083,s42004
1084,s42004
1085,s42004
1086,s42004
1087,s42004
1088,s42004
1089,s42004
1090,s42004
1091,s42004
1092,s42004
1093,s42004
1094,s42004
1095,s42004
1096,s42004
1097,s42004
1098,s42004
1099,s42004
1100,s42004
1101,s42004
1102,s42004
1103,s42004
1104,s42004
1105,s42004
1106,s42004
1107,s42004
1108,s42004
1109,s42004
1110,s42004
1111,s42004
1112,s42004
1113,s42004
1114,s42004
1115,s42004
1116,s42004
1117,s42004
1118,s42004
1119,s43247
1120,s43247
1121,s43247
1122,s43247
1123,s43247
1124,s43247
1125,s43247
1126,s43247
1127,s43247
1128,s43247
1129,s43247
1130,s43247
1131,s43247
1132,s43247
1133,s43247
1134,s43247
1135,s43247
1136,s43247
1137,s43247
1138,s43247
1139,s43247
1140,s43247
1141,s43247
1142,s43247
1143,s43247
1144,s43247
1145,s43247
1146,s43247
1147,s43247
1148,s43247
1149,s43247
1150,s43247
1151,s43247
1152,s43247
1153,s43247
1154,s43247
1155,s43247
1156,s43247
1157,s43247
1158,s43247
1159,s43246
1160,s43246
1161,s43246
1162,s43246
1163,s43246
1164,s43246
1165,s43246
1166,s43246
1167,s43246
1168,s43246
1169,s43246
1170,s43246
1171,s43246
1172,s43246
1173,s43246
1174,s43246
1175,s43246
1176,s43246
1177,s43246
1178,s43246
1179,s43246
1180,s43246
1181,s43246
1182,s43246
1183,s43246
1184,s43246
1185,s43246
1186,s43246
1187,s43246
1188,s43246
1189,s43246
1190,s43246
1191,s43246
1192,s43246
1193,s43246
1194,s43246
1195,s43246
1196,s43246
1197,s43246
1198,s43246
1199,s43856
1200,s43856
1201,s43856
1202,s43856
1203,s43856
1204,s43856
1205,s43856
1206,s43856
1207,s43856
1208,s43856
1209,s43856
1210,s43856
1211,s43856
1212,s43856
1213,s43856
1214,s43856
1215,s43856
1216,s43856
1217,s43856
1218,s43856
1219,s43856
1220,s43856
1221,s43856
1222,s43856
1223,s43856
1224,s43856
1225,s43856
1226,s43856
1227,s43856
1228,s43856
1229,s43856
1230,s43856
1231,s43856
1232,s43856
1233,s43856
1234,s43856
1235,s43856
1236,s43856
1237,s43856
1238,s43856
1239,s42005
1240,s42005
1241,s42005
1242,s42005
1243,s42005
1244,s42005
1245,s42005
1246,s42005
1247,s42005
1248,s42005
1249,s42005
1250,s42005
1251,s42005
1252,s42005
1253,s42005
1254,s42005
1255,s42005
1256,s42005
1257,s42005
1258,s42005
1259,s42005
1260,s42005
1261,s42005
1262,s42005
1263,s42005
