,SHORT_NAME_ALL,SERIAL,ALL_EXT_PATH,ALL_LINK
119,BDJ In Practice,s41404,"['s41404', '021', '0927', '9']",https://www.nature.com/articles/d43747-021-00116-9
120,BDJ In Practice,s41404,"['s41404', '021', '0905', '2']",https://www.nature.com/articles/s41408-021-00554-9
121,BDJ In Practice,s41404,"['s41404', '021', '0905', '2']",https://www.nature.com/articles/s41408-021-00559-4
122,BDJ In Practice,s41404,"['s41404', '021', '0912', '3']",https://www.nature.com/articles/s41408-021-00558-5
123,BDJ In Practice,s41404,"['s41404', '021', '0912', '3']",https://www.nature.com/articles/s41408-021-00555-8
124,BDJ Open,s41405,"['s41405', '021', '00090', '5']",https://www.nature.com/articles/s41408-021-00557-6
125,BDJ Open,s41405,"['s41405', '021', '00090', '5']",https://www.nature.com/articles/s41408-021-00527-y
126,BDJ Open,s41405,"['s41405', '021', '00088', 'z']",https://www.nature.com/articles/s41408-021-00542-z
127,BDJ Open,s41405,"['s41405', '021', '00088', 'z']",https://www.nature.com/articles/s41408-021-00553-w
128,BDJ Open,s41405,"['s41405', '021', '00089', 'y']",https://www.nature.com/articles/s41408-021-00548-7
129,BDJ Open,s41405,"['s41405', '021', '00089', 'y']",https://www.nature.com/articles/s41408-021-00538-9
130,BDJ Open,s41405,"['s41405', '021', '00087', '0']",https://www.nature.com/articles/s41408-021-00541-0
131,BDJ Open,s41405,"['s41405', '021', '00087', '0']",https://www.nature.com/articles/s41408-021-00552-x
132,BDJ Open,s41405,"['s41405', '021', '00086', '1']",https://www.nature.com/articles/s41408-021-00550-z
133,BDJ Open,s41405,"['s41405', '021', '00086', '1']",https://www.nature.com/articles/s41408-021-00549-6
134,BDJ Open,s41405,"['s41405', '021', '00083', '4']",https://www.nature.com/articles/s41408-021-00546-9
135,BDJ Open,s41405,"['s41405', '021', '00083', '4']",https://www.nature.com/articles/s41408-021-00547-8
136,BDJ Open,s41405,"['s41405', '021', '00085', '2']",https://www.nature.com/articles/s41408-021-00545-w
137,BDJ Open,s41405,"['s41405', '021', '00085', '2']",https://www.nature.com/articles/s41408-021-00544-x
138,BDJ Open,s41405,"['s41405', '021', '00084', '3']",https://www.nature.com/articles/s41408-021-00543-y
139,BDJ Open,s41405,"['s41405', '021', '00084', '3']",https://www.nature.com/articles/s41408-021-00539-8
140,BDJ Open,s41405,"['s41405', '021', '00082', '5']",https://www.nature.com/articles/s41409-021-01494-5
141,BDJ Open,s41405,"['s41405', '021', '00082', '5']",https://www.nature.com/articles/s41409-021-01480-x
142,BDJ Open,s41405,"['s41405', '021', '00076', '3']",https://www.nature.com/articles/s41409-021-01487-4
143,BDJ Open,s41405,"['s41405', '021', '00076', '3']",https://www.nature.com/articles/s41409-021-01478-5
144,BDJ Open,s41405,"['s41405', '021', '00081', '6']",https://www.nature.com/articles/s41409-021-01479-4
145,BDJ Open,s41405,"['s41405', '021', '00081', '6']",https://www.nature.com/articles/s41409-021-01491-8
146,BDJ Open,s41405,"['s41405', '021', '00079', '0']",https://www.nature.com/articles/s41409-021-01486-5
147,BDJ Open,s41405,"['s41405', '021', '00079', '0']",https://www.nature.com/articles/s41409-021-01485-6
148,BDJ Open,s41405,"['s41405', '021', '00080', '7']",https://www.nature.com/articles/s41409-021-01490-9
149,BDJ Open,s41405,"['s41405', '021', '00080', '7']",https://www.nature.com/articles/s41409-021-01477-6
150,BDJ Open,s41405,"['s41405', '021', '00077', '2']",https://www.nature.com/articles/s41409-021-01482-9
151,BDJ Open,s41405,"['s41405', '021', '00077', '2']",https://www.nature.com/articles/s41409-021-01489-2
